clients,dataset,exact_shapley_fully_covered,feasible,game_id,grand_worth,interaction_surplus,max_player_width,mean_player_width,nonempty_coordinate_intervals,nonnegative_pair_mass,nonnegative_singletons,nonnegative_triple_mass,normalized_sum_width,pair_mass,phase,slice_lower_bound,slice_upper_bound,source,sum_player_width,tolerance,triple_mass
8,fashion_mnist,,False,108,0.16132875717182885,-0.004168118176058416,,,False,True,True,False,,0.0004471088819011093,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.004615227057959526
8,fashion_mnist,,False,111,0.22752956268794575,-0.007755609453251849,,,False,True,True,False,,0.005987999217182988,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.013743608670434837
8,fashion_mnist,,False,114,0.04022519012957026,0.004575376474257202,,,False,True,True,True,,0.004205822609257372,development,True,True,confirmatory-large-update-20260903,,1e-09,0.00036955386499983034
8,fashion_mnist,,False,117,0.06213300161312897,0.00398958531217343,,,False,True,True,True,,0.002795630184069628,development,True,True,confirmatory-large-update-20260903,,1e-09,0.0011939551281038019
8,fashion_mnist,,False,120,0.18929060634518724,-0.004215082913368029,,,False,True,True,False,,0.013119595147443763,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.017334678060811792
8,fashion_mnist,,False,123,0.2797737249540427,-0.008009098389191227,,,False,True,True,False,,0.05211590922986248,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.060125007619053705
8,fashion_mnist,,False,126,0.04825148524150159,-0.003223412262297262,,,False,False,True,False,,-0.0030199343114863525,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0002034779508109097
8,fashion_mnist,,False,129,0.08105339106513886,-0.011086038315854987,,,False,False,True,False,,-0.010046727722730783,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0010393105931242042
8,fashion_mnist,,False,132,0.18966893651810116,-0.004321353345155016,,,False,True,True,False,,0.013031704339278,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.017353057684433015
8,fashion_mnist,,False,135,0.2803258008757029,-0.008132314264020946,,,False,True,True,False,,0.05330420484932752,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.061436519113348464
8,fashion_mnist,,False,138,0.04832420251394075,-0.0033027796264135795,,,False,False,True,False,,-0.0030830581763425097,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0002197214500710698
8,fashion_mnist,,False,141,0.08125341959235068,-0.011093478669456633,,,False,False,True,False,,-0.00995248394966626,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0011409947197903725
8,fashion_mnist,,False,144,0.18974895530126384,-0.00429787731628789,,,False,True,True,False,,0.013169032712778972,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.017466910029066862
8,fashion_mnist,,False,147,0.2805789923356204,-0.008183164902018147,,,False,True,True,False,,0.05272768122125765,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0609108461232758
8,fashion_mnist,,False,150,0.048366250510289976,-0.0033188984203115224,,,False,False,True,False,,-0.0030794850793482986,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.00023941334096322375
8,fashion_mnist,,False,153,0.08138666137287616,-0.011237992845971975,,,False,False,True,False,,-0.010010885948567708,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0012271068974042676
8,fashion_mnist,,False,156,0.18897595256424354,-0.004656120342788783,,,False,True,True,False,,0.012368404623655349,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.017024524966444132
8,fashion_mnist,,False,159,0.2784299136101716,-0.008902200382859216,,,False,True,True,False,,0.04873682939358376,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.057639029776442974
8,fashion_mnist,,False,162,0.04803258425014813,-0.0030471072552924333,,,False,False,True,False,,-0.0028773159749263116,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.00016979128036612168
8,fashion_mnist,,False,165,0.08052294777249977,-0.01069836359633794,,,False,False,True,False,,-0.009725142314503471,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0009732212818344688
8,fashion_mnist,,False,168,0.1891745588334609,-0.004355629047809062,,,False,True,True,False,,0.013049448716986212,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.017405077764795274
8,fashion_mnist,,False,171,0.2793083856335982,-0.008253174161579058,,,False,True,True,False,,0.051794957214312654,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.06004813137589171
8,fashion_mnist,,False,174,0.0481840480433492,-0.003225269599722462,,,False,False,True,False,,-0.0030527111088705997,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.00017255849085186237
8,fashion_mnist,,False,177,0.08084625832148051,-0.011018987937895908,,,False,False,True,False,,-0.010109732410066297,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0009092555278296111
8,fashion_mnist,,False,0,0.10612402694128474,0.0004502485572362852,,,False,True,True,False,,0.0012263281466790704,development,False,False,robustness-20260903,,1e-09,-0.0007760795894427852
8,fashion_mnist,,False,3,0.21735911125968177,0.007961770726413464,,,False,True,True,False,,0.016865956455732856,development,False,False,robustness-20260903,,1e-09,-0.008904185729319392
8,fashion_mnist,,False,6,0.04226093709917078,0.006460375789087869,,,False,True,True,False,,0.006595274750352154,development,False,False,robustness-20260903,,1e-09,-0.0001348989612642848
8,fashion_mnist,,False,9,0.09133557743050534,0.019395549696888156,,,False,True,True,True,,0.01903292382006734,development,True,True,robustness-20260903,,1e-09,0.0003626258768208157
8,fashion_mnist,,False,12,0.10567085933109144,0.0025876313666550743,,,False,True,True,False,,0.0032410974256993352,development,False,False,robustness-20260903,,1e-09,-0.0006534660590442609
8,fashion_mnist,,False,15,0.21837217114480634,0.018933067101019607,,,False,True,True,False,,0.029212926538786488,development,False,False,robustness-20260903,,1e-09,-0.01027985943776688
8,fashion_mnist,,False,18,0.04191621466916873,0.004274319675032556,,,False,True,True,False,,0.004340060363108411,development,False,False,robustness-20260903,,1e-09,-6.574068807585487e-05
8,fashion_mnist,,False,21,0.08902085442236496,0.006275672188792214,,,False,True,True,False,,0.008454160016355683,development,False,False,robustness-20260903,,1e-09,-0.002178487827563469
8,fashion_mnist,,False,24,0.09571676436449181,0.0014021331933551096,,,False,True,True,True,,0.0013547032749654797,development,True,False,robustness-20260903,,1e-09,4.7429918389629844e-05
8,fashion_mnist,,False,27,0.1956509475396462,0.014154395403780856,,,False,True,True,False,,0.020534608524185066,development,False,False,robustness-20260903,,1e-09,-0.00638021312040421
8,fashion_mnist,,False,30,0.03656631493705731,0.0050497248940606365,,,False,True,True,False,,0.005341902996187198,development,False,False,robustness-20260903,,1e-09,-0.00029217810212656126
8,fashion_mnist,,False,33,0.07686176137088886,0.011234348526943619,,,False,True,True,False,,0.01150778340051288,development,False,False,robustness-20260903,,1e-09,-0.00027343487356926155
8,fashion_mnist,,False,36,0.11688803235837177,0.005388844662338257,,,False,True,True,False,,0.007637564926845794,development,False,False,robustness-20260903,,1e-09,-0.0022487202645075366
8,fashion_mnist,,False,39,0.27202890134638186,0.02544883233643086,,,False,True,True,False,,0.07338998744439701,development,False,False,robustness-20260903,,1e-09,-0.04794115510796615
8,fashion_mnist,,False,42,0.0449715295332066,3.901981587561831e-05,,,False,False,True,True,,-0.000348246017657039,development,False,False,robustness-20260903,,1e-09,0.0003872658335326573
8,fashion_mnist,,False,45,0.10882424823190773,-0.00838322233817912,,,False,False,True,True,,-0.011785123093357552,development,False,False,robustness-20260903,,1e-09,0.003401900755178433
8,fashion_mnist,,False,48,0.11998575754905165,0.006106938281521687,,,False,True,True,False,,0.008437556456876175,development,False,False,robustness-20260903,,1e-09,-0.0023306181753544875
8,fashion_mnist,,False,51,0.29837940557028236,0.03995417743174773,,,False,True,True,False,,0.09995455291887373,development,False,False,robustness-20260903,,1e-09,-0.060000375487126
8,fashion_mnist,,False,54,0.0472153725592881,6.140488749917933e-05,,,False,False,True,True,,-2.5607798614248056e-05,development,False,False,robustness-20260903,,1e-09,8.701268611342738e-05
8,fashion_mnist,,False,57,0.1238275696198249,-0.008764256255123878,,,False,False,True,False,,-0.008225766516109803,development,False,False,robustness-20260903,,1e-09,-0.0005384897390140753
8,fashion_mnist,,False,60,0.1146880205544171,0.004496558734205319,,,False,True,True,False,,0.006029167339599323,development,False,False,robustness-20260903,,1e-09,-0.0015326086053940036
8,fashion_mnist,,False,63,0.26439748067653696,0.028281034135013206,,,False,True,True,False,,0.056856125024123016,development,False,False,robustness-20260903,,1e-09,-0.02857509088910981
8,fashion_mnist,,False,66,0.044801697519392676,0.0016069206591291588,,,False,True,True,True,,0.0013473486650233055,development,True,True,robustness-20260903,,1e-09,0.0002595719941058533
8,fashion_mnist,,False,69,0.11136628230256516,-7.5974545653695325e-06,,,False,False,True,True,,-0.003147200771006317,development,False,False,robustness-20260903,,1e-09,0.0031396033164409476
